master; gentleman; sir	ayya (m.)
May he come here. (imperative)	Idha āgacchatu.
May the master come here. (imperative)	Ayyo idha āgacchatu.
Venerable, may the master come and sit here.	Bhante, ayyo āgacchatu, idha nisīdatu.
I hope; I trust	kacci (ind.)
I hope you are...	kacci'si [kacci + asi]
bearable; tolearable	khamanīya (adj.)
able to keep going; sustainable	yāpanīya (adj.)
I hope you're keeping well Ven., I hope you're getting by?	Kacci, bhante, khamanīyaṁ kacci yāpanīyaṁ?
few; not much	appa (adj.)
fatigue; tiredness	kilamatha (m.)
worn out; tired	kilanta (adj)
little fatigue; little tiredness	appakilamatha (m.)
long road; journey	addhāna (nt.)
coming; arrival	āgata (nt.)
I hope you are with little fatigue?	Kacci'si appakilamathena?
from travelling (from going on the journey)	addhānaṁ āgato
I hope you're with little fatigue from traveling?	Kacci'si appakilamathena addhānaṁ āgato?
I'm keeping well, friend, I'm getting by.	Khamanīyaṁ, āvuso, yāpanīyaṁ.
... and I'm not tired, friend, from traveling.	... appakilamathena cāhaṁ [ca ahaṁ], āvuso, addhānaṁ āgato.
I am tired. (Me tired I am '√as')	Ahaṁ kilantosmi. [kilanto + asmi]
where? from where?	kuto (ind.)
And where from, you Ven., have you come?	Kuto ca tvaṁ bhante, āgacchasi?
country; province; area	janapada (m.)
There is, Ven., in the country (of) Portugal, the monastery called Sumedhārāma.	Atthi, bhante, Portugal janapade Sumedhārāma-vihāro nāma.
There is, Ven., in the country (of) America, the monastery called Clear Mountain.	Atthi, bhante, America janapade Pasannagiri-vihāro nāma.
That's where I, Ven., am coming from.	Tato ahaṁ, bhante, āgacchāmī.
(1) ball; lump (2) bit of food	piṇḍa (m.)
alms food; lit. lump-like thing	piṇḍaka (m.)
(1) fall (2) drop; dropping; lit. made to drop	pāta (m.)
alms food; lit. lump dropping	piṇḍapāta (m.)
Have you not had trouble? (not tired/weary you are '√as')	Na kilantosi?
And have you not had trouble getting almsfood? (And not, with the almsfood, you are tired?)	Na ca piṇḍakena kilantosi?
I had no trouble getting almsfood. (tired I am '√as')	Na ca piṇḍakena kilantomhi.
town; market town	nigama (m.)
I am entering the town Ericeira.	Ericeiraṁ pavisāmi.
day	aṇha (m.)
night	sāya (nt.)
time; occasion	samaya (m.)
morning-time	pubbaṇhasamaya (m.)
day-time	majjhanhikasamaya (m.)
evening-time	sāyanhasamaya (m.)
This morning I am entering the town Ericeira for alms-round.	Idha pubbaṇhasamayaṁ Ericeira-nigamaṁ piṇḍāya pavisāmi.
Good morning (daybreak) Ven. Sir!	Suppabhātaṁ bhante.
Good morning everyone.	Suppabhātaṁ sabbesaṁ.
Thank you.	Anumodāmi.
(See you) tomorrow.	Suve.
(Sorry,) I'll make amends.	Paṭikarissāmi.
I feel sorry.	Kāruññaṁ.
Yes.	Āma / Evaṁ bhante.
No.	No hetaṁ, bhante.
Never mind (leave it aside).	Tiṭṭhatu, bhante.
It is hot today.	Ajj'āccuṇhaṃ. [ajja (ind.) + ati  + uṇha]
It is cold today.	Ajj'ātisītaṁ.
Excuse me!	Okāsa, bhante.
Welcome here.	Svāgataṁ.
Please sit.	Nisīdatha.
Wait (stay) here. / May you wait here.	Ettheva tiṭṭha / tiṭṭhatha.
knows; understands	jānāti
knows clearly; understands; distinguishes	pajānāti
