calamity; misfortune; lit. it comes	īti (f.) [√i + ti]
avoids	vivajjati
disappears; vanishes; perishes; is destroyed	vinassati
returns; steps back; goes away; lit. goes back	paṭikkamati
being; living being; lit. become	bhūta (nt.) [√bhū + ta]
May all misfortunes be avoided, may all illness be dispelled.	Sabbītiyo vivajjantu sabbarogo vinassatu.
Go away, beings!	Paṭikkamantu bhūtāni!
We are obstructed by birth and death.	Mayaṁ otiṇṇā amha jātijarāmaraṇena.
There is no equal to the Tathāgata.	Na samo (equal to) atthi tathāgatena.
Homage to him, the Blessed One.	Namo tassa bhagavato.
May all beings be happy.	Sabbe sattā sukhī hontu.
Come here, layman!	Ehi / Āgacchāhi upāsaka!
The elder goes to the village with the disciple (/sāvaka/).	Thero sāvakena gāmaṁ gacchati.
The elder gives the robe to the disciple.	Thero sāvakassa cīvaraṁ deti.
plows; tills; turns the soil	kasati
(1) sows; plants (2) shaves	vapati
I plow and sow.	Ahaṁ kasāmi vapāmi ca.
hatred; ill-will; animosity; hostility	vera (nt.)
is calmed; is appeased	sammati (pr. pass.) [samma + ti]
at some/any time	kudācanaṁ (ind.)
this; he; it	esa (pron.)
eternal; ancient	sanantana (adj.)
Indeed not by hatred, that hatred is calmed, at any time.	Na hi verena verāni, sammant'īdha kudācanaṁ.
But by non-hatred is calmed, this truth is eternal.	Averena ca sammanti, esa dhammo sanantano.
May either he or she go.	So vā sā vā gacchatu.
if not	no ce
if more than that	tato ce uttari
(1) throws down; discards (2) puts down (3) keeps; stores	nikkhipati
If he should keep it longer than that...	Tato ce uttariṁ nikkhipeyya...
produces; comes up with	abhinipphādeti
If he might not produce it...	No ce abhinipphādeyya...
How indeed? Why on earth?	kiṁ nu kho (idiom)
but when; but because	yato ca kho (idiom)
and yet; however; still	api ca kho (idiom)
with, together with	saddhiṁ, saha (ind.)
(1) here; now; in this world; (2) in this case	idha (ind.)
after death; lit. going on	pecca (ind.)
again; once more	puna (ind.)
repeatedly; again and again	punappunaṁ (ind.)
after; beyond	paraṁ (ind.)
and what is more; and so too	puna caparaṁ (idiom) [puna + ca + paraṁ]
moreover; and so; but; or; however	pana (ind.)
he who; whoever; whatever; whichever	yo (pron., masc.nom.sg. of ya)
a monk who; but whichever monk	yo pana bhikkhu (idiom)
only; just; merely	eva (ind.)
just indeed; only just	h'eva (ind.) [hi + eva]
now, if a monk...; further, ...	bhikkhu pan'eva (idiom) [pana + eva]
like; as; according to; how	yathā (ind.)
in whatever way	yathā yathā (idiom)
assembly; meeting; group	parisā (f.)
is suitable; worthy (for); enough (for)	alaṁ (ind.)
An assembly such as this is worth traveling many leagues to see.	Yathārūpaṁ parisaṁ alaṁ yojanagaṇanānipi dassanāya gantuṁ.
is happy; enjoys himself; rejoices	modati [√mud + *a + ti]
happiness (for); appreciation	muditā (f.) [√mud + ita + ā]
who has made merit; has gained spiritual wealth	katapuñña (adj.) [kata + puñña]
in both cases; on both sides; lit. both matters	ubhayattha (ind.) [ubhaya + attha]
Here he rejoices, after (death) he rejoice, the merit-doer rejoices on both sides.	Idha modati pecca modati, katapuñño ubhayattha modati.
body; physical body	kāya (m.)
sees; observes; watches	anupassati
looking (at); observing; watching	anupassī (adj.)
observing the body; who watches the body	kāyānupassī (adj.) [kāya + anupassī]
Here, bhikkhus, a bhikkhu observes the body in the body...	Idha, bhikkhave, bhikkhu kāye kāyānupassī viharati ...
house; dwelling	geha (nt.) [√gah + a]
he will do; he will make	kāhati (fut.) [√kar + o + ti]
you will make; you will build	kāhasi (fut.) [√kar + o + si]
You not make a house again...	Puna gehaṁ na kāhasi...
arranges, organises, plans	saṁvidahati [saṁ + vi + √dhā + a + ti]
arranging, organising, planning	saṁvidhāya (ger. of saṁvidahati)
Whatever monk who, arranging with a bhikkhuni...	Yo pana bhikkhu bhikkhuniyā saddhiṁ saṁvidhāya...
is; being; becomes	bhavati
leads; carries away; takes away	neti
teaches; explains	deseti
drinks; imbibes	pivati
having known	ñatvā / jānitvā
washes; cleans; rinses	dhovati
cleans; clears; purifies; lit. makes pure	sodheti
After eating the food, I rinse my bowl, clean my teeth and go to the hall.	Ahaṁ odanaṁ bhuñjitvā, pattaṁ dhovitvā, dante sodhetvā, sālaṁ gacchāmi.
grabs hold (of); seizes; takes	gaṇhāti
